"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/10/2024","10.475","10.400","10.550","10.325","265,93M","1,45%"
"01/09/2024","10.325","10.375","10.950","10.125","1,63B","0,00%"
"01/08/2024","10.325","10.200","10.500","9.875","1,34B","0,49%"
"01/07/2024","10.275","9.850","10.425","9.800","1,38B","3,53%"
"01/06/2024","9.925","9.350","9.975","9.050","1,47B","7,30%"
"01/05/2024","9.250","9.900","9.900","8.775","2,44B","-5,61%"
"01/04/2024","9.800","10.075","10.100","9.250","1,98B","-2,73%"
"01/03/2024","10.075","9.900","10.400","9.750","1,50B","2,03%"
"01/02/2024","9.875","9.650","10.025","9.525","1,53B","3,40%"
"01/01/2024","9.550","9.400","9.775","9.300","1,51B","1,60%"
"01/12/2023","9.400","8.925","9.450","8.675","1,73B","4,74%"
"01/11/2023","8.975","8.750","9.075","8.600","1,44B","2,57%"
"01/10/2023","8.750","8.900","9.250","8.700","1,55B","-0,85%"
"01/09/2023","8.825","9.200","9.275","8.825","1,28B","-3,81%"
"01/08/2023","9.175","9.175","9.450","9.100","1,45B","0,55%"
"01/07/2023","9.125","9.025","9.400","9.025","1,32B","-0,27%"
"01/06/2023","9.150","9.150","9.325","8.950","1,03B","1,10%"
"01/05/2023","9.050","9.100","9.325","8.700","1,88B","0,00%"
"01/04/2023","9.050","8.825","9.200","8.650","1,06B","3,43%"
"01/03/2023","8.750","8.725","8.900","8.250","1,84B","0,00%"
"01/02/2023","8.750","8.575","8.950","8.400","1,28B","3,24%"
"01/01/2023","8.475","8.575","8.850","8.000","1,85B","-0,88%"
"01/12/2022","8.550","9.275","9.350","8.350","1,92B","-8,06%"
"01/11/2022","9.300","9.000","9.400","8.550","1,92B","5,68%"
"01/10/2022","8.800","8.450","8.900","8.125","1,68B","2,92%"
"01/09/2022","8.550","8.150","8.875","8.125","2,37B","4,27%"
"01/08/2022","8.200","7.350","8.275","7.350","2,04B","11,56%"
"01/07/2022","7.350","7.300","7.475","7.000","1,42B","1,38%"
"01/06/2022","7.250","7.625","7.675","7.250","1,99B","-6,45%"
"01/05/2022","7.750","7.875","7.900","7.250","2,61B","-4,62%"
"01/04/2022","8.125","8.075","8.250","7.625","1,71B","1,88%"
"01/03/2022","7.975","8.000","8.300","7.650","2,25B","-0,93%"
"01/02/2022","8.050","7.775","8.175","7.650","1,31B","5,57%"
"01/01/2022","7.625","7.325","7.950","7.300","1,47B","4,45%"
"01/12/2021","7.300","7.275","7.525","7.275","1,28B","0,34%"
"01/11/2021","7.275","7.550","7.750","7.175","1,54B","-2,68%"
"01/10/2021","7.475","6.900","8.250","6.710","2,02B","6,79%"
"01/09/2021","7.000","6.550","7.000","6.410","1,47B","6,87%"
"01/08/2021","6.550","6.060","6.760","5.905","1,77B","9,72%"
